"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
NA,NA,NA,NA,NA,NA,NA,138,135,146
NA,NA,NA,NA,NA,NA,NA,138,135,146
NA,NA,NA,NA,NA,NA,NA,138,135,146
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,NA,NA,NA,NA,NA,138,NA,NA
NA,NA,145,NA,133,NA,NA,NA,NA,NA
NA,NA,145,NA,133,NA,NA,NA,NA,NA
NA,NA,145,NA,133,NA,NA,NA,NA,NA
NA,NA,145,NA,133,NA,NA,NA,NA,NA
NA,NA,145,NA,133,NA,NA,NA,NA,NA
NA,NA,145,NA,NA,NA,NA,NA,NA,NA
NA,NA,145,NA,NA,NA,NA,NA,NA,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,NA,NA,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,181,131,161,NA
NA,NA,145,NA,133,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,NA,131,161,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
NA,NA,NA,NA,NA,NA,181,131,161,NA
