"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",1.09581959851657,0.551210893558605,0.0154660992555669,2.17617309777758,0.0468092136613799,1
"psi - x",-0.455306320683039,0.308530031004051,-1.06001406960001,0.149401428233928,0.140017000022131,1
"psi - theta",-1.79701974017921,0.500270430429467,-2.77753176635132,-0.816507714007104,0.000328028130892391,1
"rho - (Intercept)",-0.864054500011021,0.13571069782969,-1.13004258007401,-0.59806641994803,1.92904829062154e-10,1
"rho - x",0.800173112642912,0.112486973986132,0.579702694900199,1.02064353038562,1.13158191261765e-12,1
"psi - (Intercept)",3.58496269973415,1.1802036615182,1.27180602873617,5.89811937073213,0.00238486319198977,2
"psi - x",-0.965363327745376,0.359528882047467,-1.67002698796036,-0.260699667530392,0.00725127387782218,2
"psi - theta",-3.74754486540642,0.992694036036582,-5.69318942370583,-1.80190030710702,0.000159926934734472,2
"rho - (Intercept)",-1.01741788198775,0.102371713711668,-1.21806275389827,-0.816773010077237,2.83151399959741e-23,2
"rho - x",0.6974872285549,0.0830681176723729,0.534676709653514,0.860297747456286,4.59711432472452e-17,2
"psi - (Intercept)",2.50736323982329,0.518465664565563,1.49118921005416,3.52353726959242,1.32396638077339e-06,3
"psi - x",-1.15909599122675,0.320899532541083,-1.78804751766301,-0.530144464790487,0.000303819441503998,3
"psi - theta",-3.21580667435249,0.514684016628456,-4.22456881036268,-2.2070445383423,4.15426724452545e-10,3
"rho - (Intercept)",-1.10636059985729,0.0943319770017442,-1.29124787737117,-0.921473322343407,9.11948542274234e-32,3
"rho - x",0.581949881301353,0.0897798825982521,0.405984544872544,0.757915217730161,9.05368181685907e-11,3
"psi - (Intercept)",1.21887984685678,0.651022811104296,-0.0571014160216661,2.49486110973522,0.0611715172211108,4
"psi - x",0.0201563943914297,0.403097895700492,-0.769900963425417,0.810213752208276,0.960119423738243,4
"psi - theta",-2.1071646027533,0.519059049411699,-3.12450164544983,-1.08982756005677,4.91599000397027e-05,4
"rho - (Intercept)",-0.832617627605848,0.153450960073935,-1.13337598274385,-0.531859272467841,5.76462740478372e-08,4
"rho - x",0.507016361252237,0.144707182955214,0.223395494355769,0.790637228148704,0.000458772853346797,4
"psi - (Intercept)",1.32339788190368,0.687669870572254,-0.0244102976712592,2.67120606147862,0.0542960898496271,5
"psi - x",-0.228457220396129,0.273494929998634,-0.764497433147754,0.307582992355496,0.403534605132266,5
"psi - theta",-1.95715982726954,0.638569642284473,-3.20873332776774,-0.70558632677135,0.00217733974578738,5
"rho - (Intercept)",-0.950026298035315,0.137600644636046,-1.21971860577146,-0.680333990299169,5.04769805067767e-12,5
"rho - x",0.741272161273094,0.098488830676787,0.548237600267128,0.93430672227906,5.21347784421115e-14,5
"psi - (Intercept)",0.3552155828281,0.287463903863728,-0.208203315600091,0.918634481256291,0.216574706736234,6
"psi - x",-0.0135672180899794,0.184672577301024,-0.375518818532175,0.348384382352216,0.941435029590089,6
"psi - theta",-1.31475803591064,0.338166981043966,-1.97755313951746,-0.65196293230383,0.000101116953410078,6
"rho - (Intercept)",-0.775320189982493,0.129919365654926,-1.02995746756044,-0.520682912404548,2.40616813544204e-09,6
"rho - x",0.488734756450973,0.109789649280532,0.273550997985846,0.7039185149161,8.52503501096993e-06,6
"psi - (Intercept)",1.54214638364563,0.596800883415752,0.372438146209065,2.71185462108219,0.00976556734673536,7
