"parameter","rmse","coverage","ci_width","signif","rel_bias","nsite","nseason","model","scenario","nconverged"
"psi - (Intercept)",0.154476041133289,0.952727272727273,0.613352765903141,1,0.00953595366758198,100,10,"auto",1,550
"psi - x",0.134288230150184,0.943636363636364,0.500912549531682,1,0.0121619407607119,100,10,"auto",1,550
"psi - theta",0.257115742256474,0.930909090909091,0.955961577421987,0.974545454545454,-0.0340751564015024,100,10,"auto",1,550
"rho - (Intercept)",0.164016199576433,0.958181818181818,0.634655220553293,1,-0.0141861413086192,100,10,"auto",1,550
"rho - x",0.117019636319409,0.941818181818182,0.46072628157281,0.998181818181818,0.0175182095559632,100,10,"auto",1,550
"psi - (Intercept)",0.138974225854767,0.956363636363636,0.55904108368839,1,0.00754783877713152,100,12,"auto",1,550
"psi - x",0.117170670701585,0.952727272727273,0.456279528460363,1,0.00616729283964412,100,12,"auto",1,550
"psi - theta",0.214582433208835,0.950909090909091,0.871021712806283,0.994545454545455,-0.0154066398513774,100,12,"auto",1,550
"rho - (Intercept)",0.149500203051275,0.950909090909091,0.577278386172119,1,-0.0142508463194109,100,12,"auto",1,550
"rho - x",0.107036788827795,0.949090909090909,0.418368415644342,1,0.0242511525105169,100,12,"auto",1,550
"psi - (Intercept)",0.267067512830235,0.947080291970803,0.997682470006754,1,0.0150704861535856,100,4,"auto",1,548
"psi - x",0.211687373623389,0.950729927007299,0.809461796941543,0.996350364963504,0.0167833886810205,100,4,"auto",1,548
"psi - theta",0.414217579566496,0.941605839416058,1.59157977140012,0.675182481751825,-0.0494112253847614,100,4,"auto",1,548
"rho - (Intercept)",0.281501556867802,0.937956204379562,1.04338401753668,0.952554744525547,-0.0359907096212722,100,4,"auto",1,548
"rho - x",0.206592338355256,0.943430656934307,0.755958331416391,0.79014598540146,0.0429928358856508,100,4,"auto",1,548
"psi - (Intercept)",1.6764068341369,0.947176684881603,1.08977422170861,0.998178506375228,0.0519425360903458,100,6,"auto",1,549
"psi - x",1.23911708164764,0.965391621129326,0.887969171127214,0.998178506375228,0.0652557126161135,100,6,"auto",1,549
"psi - theta",1.36716409413443,0.961748633879781,1.4800214143024,0.87431693989071,-0.0697373586557937,100,6,"auto",1,549
"rho - (Intercept)",0.228507308427676,0.950819672131147,0.827198137591422,0.996357012750455,-0.0170955977406304,100,6,"auto",1,549
