"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.779190449812066,0.389502299000056,0.0157799718764049,1.54260092774773,0.0454487646768267,1
"psi - x",1.04362574080443,0.326517837566462,0.403662538864266,1.6835889427446,0.00139236615337566,1
"psi - theta",0.761269377080936,0.561823348287372,-0.339884151236015,1.86242290539789,0.175418271478382,1
"rho - (Intercept)",-0.955372703085701,0.111292836849018,-1.17350265504707,-0.737242751124332,9.13797394850122e-18,1
"rho - x",0.703569265416659,0.115005384927154,0.478162852931272,0.928975677902045,9.49313170107311e-10,1
"psi - (Intercept)",0.241928295607264,0.270769551731766,-0.288770273897052,0.77262686511158,0.371597970569716,2
"psi - x",1.04607224390273,0.238510247278034,0.578600749294041,1.51354373851142,1.15529100705276e-05,2
"psi - theta",1.59862782621134,0.417669061920917,0.780011507389713,2.41724414503297,0.000129452023968088,2
"rho - (Intercept)",-0.809876627089524,0.100876705882041,-1.00759133749736,-0.612161916681684,9.87673625052379e-16,2
"rho - x",0.511599713733031,0.0923561675107162,0.330584951661879,0.692614475804183,3.03472929592106e-08,2
"psi - (Intercept)",0.212818163763804,0.308608171676198,-0.392042738056298,0.817679065583906,0.490441754839338,3
"psi - x",0.947585741465176,0.239956663219355,0.477279323704833,1.41789215922552,7.84826161839526e-05,3
"psi - theta",2.13935568336413,0.879188955063998,0.416176995833293,3.86253437089497,0.0149607141677113,3
"rho - (Intercept)",-1.08019771645582,0.121988613447438,-1.31929100533677,-0.841104427574861,8.37542947491668e-19,3
"rho - x",0.658488372504433,0.10775377705979,0.447294850269086,0.86968189473978,9.89797435514544e-10,3
"psi - (Intercept)",0.679127960734833,0.322061589238044,0.0478988450245347,1.31035707644513,0.0349713732074569,4
"psi - x",1.07893879339186,0.267271458740019,0.55509636016594,1.60278122661778,5.4170222606598e-05,4
"psi - theta",0.589360704544143,0.459876777534364,-0.311981216749548,1.49070262583784,0.199996259888714,4
"rho - (Intercept)",-0.854484315605135,0.107397160705613,-1.06497888263,-0.643989748580274,1.77256487082134e-15,4
"rho - x",0.279016988464473,0.113158506369139,0.0572303914366138,0.500803585492333,0.0136738863852344,4
"psi - (Intercept)",0.316669138933799,0.262206491934768,-0.197246141770938,0.830584419638536,0.227159216769604,5
"psi - x",0.857637309465571,0.196886130491235,0.471747584647296,1.24352703428385,1.32456705323398e-05,5
"psi - theta",0.707812639188827,0.444813381784337,-0.164005568949937,1.57963084732759,0.111551632499266,5
"rho - (Intercept)",-0.668520698069555,0.105956866043391,-0.876192339429335,-0.460849056709774,2.80179974109418e-10,5
"rho - x",0.452552228133448,0.0926682821245552,0.270925732660123,0.634178723606773,1.04181081725672e-06,5
"psi - (Intercept)",0.869516627562894,0.364943971546081,0.154239586957565,1.58479366816822,0.0171907188095826,6
"psi - x",1.40945539918252,0.287846827432457,0.845285984350793,1.97362481401426,9.75355353095974e-07,6
"psi - theta",0.339532627942942,0.497814724820742,-0.636166303679431,1.31523155956531,0.495209755005436,6
"rho - (Intercept)",-0.826386325976034,0.108516807041169,-1.03907535949401,-0.613697292458059,2.63111893997661e-14,6
"rho - x",0.380522406346623,0.0994836663962614,0.185538003159953,0.575506809533293,0.000130786053922654,6
"psi - (Intercept)",0.176118261954765,0.217716530344734,-0.250598296359935,0.602834820269465,0.418553221148877,7
"psi - x",0.579151067927428,0.191257262329641,0.204293721979602,0.954008413875254,0.00246075551344709,7
"psi - theta",0.771583112612971,0.336734717133428,0.11159519468717,1.43157103053877,0.021942146058517,7
"rho - (Intercept)",-0.74250871789598,0.108015661093258,-0.954215523405049,-0.53080191238691,6.23894785181097e-12,7
"rho - x",0.555892722546532,0.130740601287397,0.299645852706122,0.812139592386942,2.11987972592985e-05,7
"psi - (Intercept)",0.551118525739179,0.320098412114165,-0.0762628335130437,1.1784998849914,0.0851209955985797,8
"psi - x",2.03832587183975,0.441373303261418,1.17325009370989,2.9034016499696,3.87185849012462e-06,8
"psi - theta",1.40699420652082,0.638098816676188,0.156343507257869,2.65764490578378,0.0274555994342129,8
"rho - (Intercept)",-0.766352939220777,0.105179700224161,-0.972501363564853,-0.560204514876701,3.18985867865284e-13,8
"rho - x",0.416649062850893,0.0880630982968892,0.244048561821979,0.589249563879806,2.23134902576297e-06,8
"psi - (Intercept)",0.373633361263083,0.364026102175953,-0.339844688434283,1.08711141096045,0.304706999876577,9
"psi - x",1.07618826690271,0.326528771578427,0.436203634692891,1.71617289911254,0.000981260867433529,9
"psi - theta",1.61866820535599,0.732416164174915,0.183158901878185,3.0541775088338,0.0271024634773513,9
"rho - (Intercept)",-1.12380664652657,0.120149650813523,-1.35929563487614,-0.888317658177,8.48818743991973e-21,9
"rho - x",0.578498704615189,0.143701624698344,0.296848695686545,0.860148713543834,5.68076302359908e-05,9
"psi - (Intercept)",0.309028833033814,0.269921928406943,-0.220008425281393,0.838066091349022,0.252257924949802,10
"psi - x",0.906132135724137,0.21673634625988,0.48133670291397,1.3309275685343,2.90480453388357e-05,10
"psi - theta",1.22597857544366,0.467546335445856,0.309604596866095,2.14235255402122,0.0087375893987395,10
"rho - (Intercept)",-0.84887344738693,0.106043066154922,-1.05671403786077,-0.641032856913085,1.19478548607673e-15,10
"rho - x",0.304260911799826,0.102800124533922,0.102776370107108,0.505745453492545,0.00307905857862557,10
"psi - (Intercept)",0.712972269705215,0.382223035648778,-0.03617111422796,1.46211565363839,0.0621350985540517,11
"psi - x",0.826404821471585,0.25715370187092,0.322392827313432,1.33041681562974,0.00131054304035338,11
"psi - theta",0.922814300813672,0.636327341451629,-0.324364370809642,2.16999297243699,0.14699732688911,11
"rho - (Intercept)",-1.03951111457595,0.1252363841906,-1.28496991714355,-0.794052312008356,1.0376820152864e-16,11
"rho - x",0.681646190350562,0.102162383330325,0.481411598448349,0.881880782252774,2.52024791004657e-11,11
"psi - (Intercept)",0.292180050271906,0.322052525032296,-0.339031299921578,0.923391400465389,0.364278060858049,12
"psi - x",1.10917252923478,0.254988296988067,0.609404650658968,1.6089404078106,1.36202219605752e-05,12
"psi - theta",1.32450139279275,0.595094327080696,0.158137944310484,2.49086484127501,0.0260342885120377,12
"rho - (Intercept)",-0.917325297833716,0.111876187239271,-1.13659859555035,-0.698052000117084,2.41451735103465e-16,12
"rho - x",0.495385794847485,0.0921122138534347,0.314849173158502,0.675922416536468,7.52891773434358e-08,12
"psi - (Intercept)",0.401082869029486,0.290448111617856,-0.168184969119181,0.970350707178152,0.167306457803847,13
"psi - x",1.08237874256721,0.253172320189982,0.586170113112406,1.57858737202202,1.90910136244753e-05,13
"psi - theta",1.33973845029362,0.470920166235899,0.416751884877639,2.26272501570959,0.00444201350634334,13
"rho - (Intercept)",-0.927555230938685,0.108305869892136,-1.13983083524155,-0.715279626635818,1.08810483840281e-17,13
"rho - x",0.581110693838859,0.110218070523743,0.365087245166827,0.797134142510892,1.34671592809121e-07,13
"psi - (Intercept)",0.796079244585043,0.32754003219593,0.154112577985929,1.43804591118416,0.0150788703646451,14
"psi - x",0.926929924806768,0.251876572799161,0.433260913571032,1.4205989360425,0.000233146321673476,14
"psi - theta",0.235984280764529,0.49990784672319,-0.743817094401893,1.21578565593095,0.636887128420516,14
"rho - (Intercept)",-0.867905200119405,0.115938109877053,-1.09513971991408,-0.640670680324733,7.10393377700465e-14,14
"rho - x",0.502592967801692,0.111216599010348,0.284612439258377,0.720573496345006,6.21187907572917e-06,14
"psi - (Intercept)",0.978775345387325,0.401852860726003,0.19115821127997,1.76639247949468,0.0148648119764075,15
"psi - x",1.21378607200093,0.281856389474276,0.66135769981885,1.766214444183,1.65933644637927e-05,15
"psi - theta",-0.0246274295195342,0.527748419204864,-1.05899532405901,1.00974046501995,0.962780151082389,15
"rho - (Intercept)",-0.831318907940393,0.115621660148602,-1.05793319766438,-0.604704618216403,6.47947228074038e-13,15
"rho - x",0.526824401799674,0.106822257964423,0.317456623442159,0.736192180157189,8.14816038141993e-07,15
"psi - (Intercept)",0.214472415208313,0.319475593573909,-0.411688242136105,0.840633072552731,0.502012590082964,16
"psi - x",0.995920312223437,0.268377021584018,0.469911015640633,1.52192960880624,0.000206523612500385,16
"psi - theta",1.94357426966257,0.738080176825074,0.496963705382471,3.39018483394267,0.00845637566801516,16
"rho - (Intercept)",-0.926078611351977,0.106734088622188,-1.13527358097417,-0.716883641729782,4.08124953206395e-18,16
