"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",-0.20077343407962,0.28559592687459,-0.760531164885151,0.35898429672591,0.482056846003172,1
"psi - x",0.670911983589329,0.292805918868856,0.097022928146213,1.24480103903244,0.0219449273938134,1
"psi - theta",0.56769538826986,0.432672591282594,-0.280327307741644,1.41571808428136,0.189497560855764,1
"rho - (Intercept)",-0.935701804627352,0.167282775986786,-1.26357002079533,-0.60783358845937,2.22494323704961e-08,1
"rho - x",0.526851739553245,0.225721044652146,0.084446621482281,0.96925685762421,0.0195913562146983,1
"psi - (Intercept)",2.17344474571489,1.37409701907514,-0.519735922936244,4.86662541436601,0.113712173783387,2
"psi - x",0.698686847573469,0.451635758119463,-0.186502972471122,1.58387666761806,0.121859866122416,2
"psi - theta",-1.93557455452222,1.24591279572609,-4.37751876202296,0.506369652978525,0.120294336057167,2
"rho - (Intercept)",-1.20906895926356,0.165517160743121,-1.53347663314341,-0.884661285383719,2.7768939919461e-13,2
"rho - x",0.681084475222924,0.176445173208914,0.33525829048752,1.02691065995833,0.000113370966888975,2
"psi - (Intercept)",0.440701246464245,0.419865070227753,-0.382219169548531,1.26362166247702,0.293890150651878,3
"psi - x",1.07732329663939,0.369868729949163,0.352393906931461,1.80225268634732,0.00358298041781655,3
"psi - theta",0.104582134758149,0.605150640279013,-1.08149132541007,1.29065559492637,0.862792914421248,3
"rho - (Intercept)",-0.933377118134987,0.18660267389313,-1.29911163838439,-0.567642597885581,5.67535112786589e-07,3
"rho - x",0.68390055984724,0.236397931866881,0.2205691273684,1.14723199232608,0.00381574395492568,3
"psi - (Intercept)",0.740895375203518,0.42623547787077,-0.0945108103564102,1.57630156076345,0.0821702617078178,4
"psi - x",1.37749873741919,0.370644702773066,0.651048468923426,2.10394900591495,0.00020200660108503,4
"psi - theta",-0.565590232131095,0.546009908500778,-1.63574998799463,0.504569523732439,0.30026711211121,4
"rho - (Intercept)",-0.913471881279938,0.166022176997576,-1.23886936883012,-0.588074393729755,3.75277800508108e-08,4
"rho - x",0.42994962982232,0.156781095841949,0.122664328515378,0.737234931129262,0.0061000129294742,4
"psi - (Intercept)",0.500134864719715,0.42432128344197,-0.331519568700357,1.33178929813979,0.238529514362805,5
"psi - x",0.592334592692454,0.499617193007697,-0.386897111659629,1.57156629704454,0.235789437262541,5
"psi - theta",0.908532596460465,0.640683354299141,-0.347183703460166,2.16424889638109,0.156170897436212,5
"rho - (Intercept)",-1.16359934793364,0.169316044431269,-1.49545269702371,-0.831745998843566,6.31521713049596e-12,5
"rho - x",0.51399198125459,0.178754867082164,0.163638879712304,0.864345082796875,0.00403514251915219,5
"psi - (Intercept)",0.980653437538855,0.496538051993882,0.00745673867717012,1.95385013640054,0.0482702541526316,6
"psi - x",1.16615173419942,0.366468285951377,0.447887092258596,1.88441637614025,0.00146193416015484,6
