"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.824642227688869,0.556988105779967,-0.267034399457052,1.91631885483479,0.138729645310269,1
"psi - x",-0.125453746553859,0.409945285206591,-0.928931741190778,0.678024248083059,0.759585164143809,1
"psi - theta",-1.21871070221747,0.579599623601628,-2.35470508992963,-0.0827163145053023,0.0354940283348726,1
"rho - (Intercept)",-1.17029413278133,0.174440023020292,-1.51219029536344,-0.828397970199223,1.96147352364013e-11,1
"rho - x",0.436308064148,0.181081176120731,0.0813954806732132,0.791220647622787,0.0159760956194296,1
"psi - (Intercept)",1.27627488235525,0.697265285651451,-0.0903399651916319,2.64288972990212,0.0671900398180433,2
"psi - x",-0.208349363237396,0.409413782953689,-1.01078563260093,0.594086906126133,0.610824564446232,2
"psi - theta",-1.63483381714474,0.655491913061992,-2.91957435890351,-0.350093275385978,0.0126292466684878,2
"rho - (Intercept)",-1.16906571735541,0.165107814049149,-1.49267108645788,-0.845460348252937,1.43510761170355e-12,2
"rho - x",0.547334239072444,0.169055938020092,0.215990689180427,0.87867778896446,0.00120542849636989,2
"psi - (Intercept)",0.586187377816345,0.457083945841354,-0.309680693944165,1.48205544957686,0.199684779199635,3
"psi - x",-0.276180818927154,0.461786709089908,-1.18126613728265,0.62890449942834,0.549793166265789,3
"psi - theta",-0.923102926498352,0.464081748752389,-1.8326864399354,-0.0135194130613038,0.0466906609438471,3
"rho - (Intercept)",-1.04591342133005,0.169898812935973,-1.37890897570066,-0.712917866959434,7.45599861464454e-10,3
"rho - x",0.671101778003281,0.201418763218591,0.276328256284241,1.06587529972232,0.000862635526514882,3
"psi - (Intercept)",2.23650285402533,1.34038835671698,-0.390610050436776,4.86361575848744,0.0952069114298873,4
"psi - x",-1.13798911474038,0.830222537853388,-2.76519538808647,0.489217158605698,0.170467337089351,4
"psi - theta",-1.90841646860195,0.91407117141947,-3.69996304389045,-0.11686989331345,0.0368140357063325,4
"rho - (Intercept)",-1.20951660575127,0.172352159260164,-1.5473206305589,-0.871712580943637,2.2554214361057e-12,4
"rho - x",0.928586122651916,0.153850255671167,0.62704516252415,1.23012708277968,1.58325183603486e-09,4
"psi - (Intercept)",0.485824358580219,0.439515710661369,-0.375610604955591,1.34725932211603,0.269002374692723,5
"psi - x",0.1434080130272,0.288619642335368,-0.422276091180953,0.709092117235352,0.619276888770643,5
"psi - theta",-1.01535657998986,0.454652704979938,-1.90645950722425,-0.124253652755464,0.025531966020374,5
"rho - (Intercept)",-1.06431538098864,0.187557281703362,-1.43192089816546,-0.696709863811816,1.39000840018287e-08,5
"rho - x",0.537843106083188,0.169788410511196,0.205063936488943,0.870622275677434,0.00153636420060148,5
"psi - (Intercept)",1.27921542141489,0.490774833572918,0.317314423093334,2.24111641973645,0.0091466936639315,6
"psi - x",0.0067563757941258,0.30074088496432,-0.582684927414645,0.596197679002897,0.982076416043221,6
"psi - theta",-1.91273891340152,0.453475249412388,-2.80153407013012,-1.02394375667292,2.46526272140658e-05,6
"rho - (Intercept)",-0.893745889714956,0.141691359543779,-1.17145585134128,-0.616035928088634,2.83221510776403e-10,6
"rho - x",0.569757641712014,0.135453869118379,0.304272936673388,0.83524234675064,2.59602278123876e-05,6
"psi - (Intercept)",1.40185575497314,0.644498270831668,0.138662356044729,2.66504915390155,0.0296217439490941,7
"psi - x",-0.395777286911113,0.269594329523891,-0.924172463214164,0.132617889391937,0.142091315308606,7
"psi - theta",-1.79598241671988,0.615085873084796,-3.00152857536545,-0.590436258074301,0.00350156187009461,7
"rho - (Intercept)",-1.10258163239474,0.148969229697785,-1.39455595740708,-0.810607307382412,1.34750853855451e-13,7
"rho - x",0.721025755653148,0.123920000553629,0.478147017603851,0.963904493702445,5.93859924435155e-09,7
"psi - (Intercept)",0.650709738250841,0.337820077292721,-0.0114054464974296,1.31282492299911,0.0540791452192503,8
"psi - x",-0.322372924134841,0.337848782206062,-0.984544369479439,0.339798521209756,0.339985985625863,8
"psi - theta",-1.92525035993073,0.400449912237216,-2.7101177655279,-1.14038295433356,1.52662698090968e-06,8
"rho - (Intercept)",-0.708844704598531,0.140636562232769,-0.984487301484284,-0.433202107712777,4.64902134881519e-07,8
"rho - x",0.713435228964117,0.160755393840009,0.398360446717147,1.02851001121109,9.07912971684878e-06,8
"psi - (Intercept)",0.499508603958419,0.428221416459898,-0.339789949711707,1.33880715762855,0.243423368618232,9
"psi - x",0.291424311688378,0.26639942472783,-0.230708966280358,0.813557589657114,0.273982405316891,9
"psi - theta",-1.20297141830839,0.489454651702475,-2.16228490771084,-0.243657928905943,0.0139799131135967,9
"rho - (Intercept)",-0.966892265731783,0.178152922771683,-1.31606557810483,-0.617718953358739,5.72076890980513e-08,9
"rho - x",0.545296330035603,0.161030387994783,0.229682569149317,0.860910090921889,0.000708432924982279,9
"psi - (Intercept)",1.34917637593456,0.503829951925808,0.361687815827431,2.33666493604169,0.00740984394335779,10
"psi - x",-0.110364549627602,0.281020825160399,-0.661155245847711,0.440426146592507,0.694520905697224,10
"psi - theta",-2.4206463506324,0.487667171986656,-3.37645644416875,-1.46483625709606,6.91533914253741e-07,10
"rho - (Intercept)",-0.975542032246363,0.138487364777283,-1.2469722795237,-0.704111784969027,1.86439772913295e-12,10
"rho - x",0.433373485832297,0.122102879140032,0.194056240309187,0.672690731355406,0.000386332008253451,10
"psi - (Intercept)",0.83394593980121,0.481633439669211,-0.110038255700587,1.77793013530301,0.0833634984406404,11
"psi - x",-0.150649763686051,0.302899046055127,-0.744320984905639,0.443021457533537,0.618935454043331,11
"psi - theta",-0.931313268776968,0.499639252816273,-1.91058820955937,0.04796167200543,0.0623257232403731,11
"rho - (Intercept)",-0.823398246623732,0.147513910729255,-1.11252019887173,-0.534276294375737,2.37994697126968e-08,11
"rho - x",0.347465104674146,0.158611120056441,0.036593021815963,0.65833718753233,0.0284754613479682,11
"psi - (Intercept)",0.740059205317252,0.356642065043202,0.0410536024605848,1.43906480817392,0.0379795395794756,12
