"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",0.00383564880460453,0.31441657889858,-0.612409521978908,0.620080819588117,0.990266642220121,1
"psi - x",0.112705910538042,0.319988457509811,-0.514459941649712,0.739871762725796,0.724674272544309,1
"psi - theta",0.494432465403571,0.448022767681963,-0.383676023507033,1.37254095431417,0.269771981072596,1
"rho - (Intercept)",-1.1106968423038,0.179546431163649,-1.46260138093725,-0.758792303670347,6.1660737174221e-10,1
"rho - x",0.849335285699693,0.194401349014046,0.468315643086162,1.23035492831322,1.24829137773275e-05,1
"psi - (Intercept)",2.37689185900388,2.09854052446904,-1.73617198905324,6.489955707061,0.257365279640809,2
"psi - x",0.306915163540862,0.383746275953253,-0.445213716528882,1.05904404361061,0.423834396380216,2
"psi - theta",-2.22363395155701,1.96743229329402,-6.07973038843434,1.63246248532032,0.258382972289161,2
"rho - (Intercept)",-1.19689204129935,0.167942929833487,-1.52605413523112,-0.867729947367578,1.0274532212679e-12,2
"rho - x",0.322082395211476,0.139908317387628,0.0478671319941264,0.596297658428825,0.0213297519493663,2
"psi - (Intercept)",0.649442303658431,0.451411567171492,-0.235308110202477,1.53419271751934,0.150237748396724,3
"psi - x",0.192217143800235,0.402300065042432,-0.596276494661053,0.980710782261522,0.632795794277787,3
"psi - theta",0.000871331804419591,0.549585842288605,-1.07629712549436,1.0780397891032,0.998735007619672,3
"rho - (Intercept)",-0.962848455267803,0.164916443043838,-1.28607874409218,-0.63961816644343,5.27039366592924e-09,3
"rho - x",0.690953618591822,0.211607586829048,0.276210369551456,1.10569686763219,0.00109363951153607,3
"psi - (Intercept)",1.41524828152392,0.908599807685156,-0.365574617899001,3.19607118094685,0.119324647227629,4
"psi - x",0.178560000598626,0.452063817527781,-0.707468800469511,1.06458880166676,0.692851389081375,4
"psi - theta",-0.709162675544213,0.910568997843344,-2.4938451167559,1.07551976566747,0.436090071093759,4
"rho - (Intercept)",-1.14428082669548,0.172114664712442,-1.48161937074305,-0.806942282647903,2.96369976271482e-11,4
"rho - x",0.691803499580343,0.168291418705125,0.361958380011147,1.02164861914954,3.94380587371935e-05,4
"psi - (Intercept)",0.777514354998484,0.362677619228687,0.0666792833115267,1.48834942668544,0.0320475726832161,5
"psi - x",0.0282242228748351,0.30079214727909,-0.56131755262465,0.61776599837432,0.925241834757882,5
"psi - theta",-0.276909758358173,0.461066787650821,-1.18058405662136,0.626764539905012,0.548116486497454,5
"rho - (Intercept)",-0.94009364776019,0.161106939912353,-1.25585744764786,-0.624329847872519,5.37212184832791e-09,5
"rho - x",0.534313219010905,0.159718886133839,0.221269954537728,0.847356483484082,0.000821831690033853,5
"psi - (Intercept)",1.64915503204904,0.646326598000956,0.382378177716872,2.91593188638121,0.0107235220634536,6
"psi - x",0.948886515939385,0.436936301326868,0.0925071018005837,1.80526593007819,0.0298796890703258,6
"psi - theta",-0.938212011736898,0.637609858435547,-2.18790437045825,0.311480346984455,0.141169042244024,6
"rho - (Intercept)",-1.10346607684228,0.144132759975719,-1.38596109538705,-0.820971058297518,1.91962233460097e-14,6
"rho - x",0.30106902956756,0.147616997973945,0.0117450300327057,0.590393029102414,0.0413973401193559,6
"psi - (Intercept)",0.696702185528749,0.385740507926304,-0.059335317384995,1.45273968844249,0.070896140337153,7
"psi - x",0.200257693911637,0.203719750268531,-0.199025679554178,0.599541067377452,0.325604589351154,7
"psi - theta",-0.726024943355188,0.456772571793979,-1.62128273319712,0.169232846486747,0.111954991734052,7
"rho - (Intercept)",-0.880912414032767,0.14650632004699,-1.16805952483237,-0.593765303233169,1.82351997989046e-09,7
"rho - x",0.583859919721307,0.11519080058162,0.358090099230997,0.809629740211617,4.00682470289863e-07,7
"psi - (Intercept)",0.181573423127349,0.284164177454217,-0.375378130379365,0.738524976634064,0.522840070431126,8
"psi - x",0.110138375230112,0.245388576620159,-0.370814397162946,0.591091147623171,0.653552471691342,8
"psi - theta",0.531325786440109,0.373553245151827,-0.200825120365533,1.26347669324575,0.15492286208728,8
"rho - (Intercept)",-0.609267940893475,0.134784026790384,-0.873439779093909,-0.345096102693041,6.17440428858104e-06,8
"rho - x",0.475401947673004,0.171711089843706,0.138854395833219,0.811949499512789,0.00562950654935558,8
"psi - (Intercept)",0.181312025709396,0.276112179360122,-0.359857901529307,0.722481952948098,0.511399089181873,9
"psi - x",0.212825347036891,0.21190929731211,-0.202509243684035,0.628159937757818,0.315223028684839,9
"psi - theta",0.245023944961867,0.417049457991096,-0.572377972472632,1.06242586239637,0.556856055846576,9
"rho - (Intercept)",-0.725956232250409,0.139973094691603,-1.00029845665057,-0.451614007850253,2.14399919750429e-07,9
"rho - x",0.343824917984107,0.147922172231375,0.0539027878956815,0.633747048072532,0.0201060128495073,9
"psi - (Intercept)",1.88293648619931,1.23526621213952,-0.538140800913369,4.30401377331198,0.127429704306758,10
"psi - x",0.268993340898523,0.337255707221499,-0.3920156988362,0.930002380633247,0.425105768504477,10
"psi - theta",-0.843087440730126,1.14691548845025,-3.09100049140378,1.40482560994353,0.462283975627899,10
"rho - (Intercept)",-1.17222613194118,0.156394481584436,-1.47875368322749,-0.865698580654873,6.61385945264058e-14,10
"rho - x",0.369060980937272,0.120612780038627,0.132664275986311,0.605457685888234,0.0022142356065451,10
"psi - (Intercept)",0.331957175029505,0.353084360832745,-0.360075455707019,1.02398980576603,0.347133488135838,11
"psi - x",0.349806368545719,0.253458788534354,-0.14696372854677,0.846576465638207,0.167546268761606,11
"psi - theta",0.0743752180974476,0.494628802155637,-0.895079419843789,1.04382985603868,0.880476081823305,11
"rho - (Intercept)",-0.840134646511343,0.14053258733498,-1.11557345634213,-0.564695836680553,2.25589712330809e-09,11
"rho - x",0.255362215311333,0.146145727592581,-0.0310781472645271,0.541802577887194,0.0805831950143286,11
"psi - (Intercept)",1.39566972235891,0.9217939128753,-0.411013148044929,3.20235259276275,0.130005551977393,12
"psi - x",0.159971240492595,0.469753570678872,-0.760728839647085,1.08067132063227,0.733447726039406,12
"psi - theta",-0.591877053882012,0.784518730715499,-2.12950551128147,0.945751403517443,0.450581431752468,12
"rho - (Intercept)",-1.01976562990062,0.176706727517249,-1.36610445166036,-0.673426808140875,7.88260203902214e-09,12
"rho - x",0.621954094773073,0.177363204802398,0.274328601177771,0.969579588368375,0.000453752784954531,12
"psi - (Intercept)",1.73000353001133,0.848256633978708,0.0674510777658863,3.39255598225677,0.0414020171635819,13
"psi - x",-0.131089490052686,0.3925705250563,-0.900513580555012,0.63833460044964,0.738435428673996,13
"psi - theta",-1.49414930658924,0.691328387710831,-2.84912804799261,-0.139170565185871,0.0306742653313569,13
"rho - (Intercept)",-1.26948001581743,0.164439062998728,-1.59177465694645,-0.947185374688409,1.1627172345737e-14,13
"rho - x",0.666659276272158,0.145574172701064,0.381339140698859,0.951979411845457,4.66052782621601e-06,13
"psi - (Intercept)",2.74380354685665,1.80394289612974,-0.791859559724522,6.27946665343782,0.12825894675835,14
"psi - x",-0.214603783081604,0.660866529375305,-1.50987837924518,1.08067081308198,0.745384745901501,14
"psi - theta",-1.71475031411293,1.2586525096507,-4.18166390207926,0.752163273853392,0.173081172896562,14
"rho - (Intercept)",-1.33325254628179,0.188088662185729,-1.70189955006614,-0.964605542497438,1.35645967623147e-12,14
"rho - x",0.841447205760066,0.144182789240313,0.558854131658524,1.12404027986161,5.34767981272892e-09,14
"psi - (Intercept)",9.23280556404342,48.2432055544595,-85.3221398214599,103.787750949547,0.848227549004999,15
"psi - x",-0.171584908189189,0.397144036748178,-0.949972916890471,0.606803100512092,0.665707219956905,15
"psi - theta",-7.78167835434875,48.2198499165444,-102.290847530703,86.727490822005,0.871794787942135,15
"rho - (Intercept)",-1.23592491001621,0.116781251435745,-1.46481195689979,-1.00703786313263,3.56386524228718e-26,15
"rho - x",0.625361539691057,0.0934357322320519,0.442230869647107,0.808492209735007,2.18702195638152e-11,15
"psi - (Intercept)",0.329800201496565,0.350313932321494,-0.356802489136165,1.0164028921293,0.346478468361299,16
"psi - x",0.371150671101426,0.218816238078417,-0.0577212747648125,0.800022616967665,0.0898527101764989,16
"psi - theta",-0.0785305522539908,0.523548618726722,-1.10466698911406,0.947605884606077,0.880767238179815,16
"rho - (Intercept)",-0.931942225648003,0.16731662108955,-1.25987677699846,-0.60400767429755,2.54838567861991e-08,16
"rho - x",0.520133302377008,0.123446135785886,0.278183322206031,0.762083282547986,2.5150666804888e-05,16
"psi - (Intercept)",0.226943284232837,0.315531033174582,-0.391486176794055,0.84537274525973,0.471991605035249,17
"psi - x",0.588210307620752,0.276905766605041,0.0454849779634172,1.13093563727809,0.0336512867450235,17
"psi - theta",0.615267373839232,0.541663754590533,-0.446374076888955,1.67690882456742,0.256004975049643,17
"rho - (Intercept)",-0.859294819791051,0.137525212144322,-1.12883928256015,-0.58975035702195,4.15020657989756e-10,17
"rho - x",0.297310077836108,0.180583137001313,-0.0566263669017269,0.651246522573944,0.0996837105856844,17
"psi - (Intercept)",0.465602054196698,0.350991678276383,-0.222328994098282,1.15353310249168,0.184663202236133,18
"psi - x",0.642007355727996,0.239532864778025,0.172531567649365,1.11148314380663,0.00735677491422227,18
"psi - theta",-0.185890788448419,0.458574406811751,-1.08468011003127,0.712898533134431,0.685207993540702,18
"rho - (Intercept)",-0.829272360252963,0.152309286393023,-1.12779307609429,-0.530751644411641,5.19042759401783e-08,18
"rho - x",0.396419892260667,0.131639368778639,0.138411470506948,0.654428314014385,0.00260038902774762,18
