"parameter","Est","SE","lower","upper","p","simulation"
"psi - (Intercept)",-0.18261187223397,0.272900048043194,-0.717486137777881,0.352262393309941,0.503397915893057,1
"psi - x",-0.12798465432151,0.238645592199341,-0.595721420101451,0.339752111458431,0.591754058916582,1
"psi - theta",1.4490187596804,0.483505715434399,0.501364971109705,2.39667254825109,0.00272739274444427,1
"rho - (Intercept)",-0.935928294619788,0.132758455835595,-1.19613008670071,-0.67572650253887,1.79100151846675e-12,1
"rho - x",0.44201308346877,0.135983412323283,0.175490492820276,0.708535674117265,0.00115205242799008,1
"psi - (Intercept)",0.785895120679873,0.560563275073728,-0.312788709520454,1.8845789508802,0.16092301957815,2
"psi - x",-0.160146152888296,0.686200191985476,-1.5050738153643,1.18478150958771,0.815465491118999,2
"psi - theta",0.733649439796527,0.767008701138756,-0.769659990264281,2.23695886985733,0.338815986186633,2
"rho - (Intercept)",-1.15635275789233,0.15387979194932,-1.45795160806152,-0.854753907723148,5.70634472629536e-14,2
"rho - x",0.520063585062681,0.207070173605726,0.114213502523002,0.92591366760236,0.0120208028633563,2
"psi - (Intercept)",0.341936955895101,0.354639173535174,-0.353143051740891,1.03701696353109,0.334954336200451,3
"psi - x",0.386808580623562,0.316357405055001,-0.233240539526789,1.00685770077391,0.221444960081644,3
"psi - theta",0.982184602672343,0.566944283992026,-0.129005775192876,2.09337498053756,0.0831991277196317,3
"rho - (Intercept)",-0.906862643862812,0.136416491935008,-1.17423405495273,-0.639491232772899,2.97608565983022e-11,3
"rho - x",0.457033414691723,0.194005315890219,0.0767899827375783,0.837276846645867,0.0184839708591125,3
"psi - (Intercept)",0.116135698223195,0.337496910530111,-0.545346091309358,0.777617487755749,0.730764373038634,4
"psi - x",0.0547312411064343,0.285443871959063,-0.504728467540992,0.61419094975386,0.847945232103051,4
"psi - theta",2.00478198705038,0.709810552639537,0.613578868030414,3.39598510607034,0.00473706719999122,4
"rho - (Intercept)",-1.02911214122464,0.119766731898433,-1.26385062229164,-0.794373660157649,8.49951791330992e-18,4
"rho - x",0.616741331273569,0.117547712129291,0.386352049035077,0.847130613512061,1.54820937059449e-07,4
"psi - (Intercept)",0.0842424792597661,0.302185404856179,-0.508030030912,0.676514989431532,0.780415614182798,5
"psi - x",-0.129374688988624,0.292217516166694,-0.702110496327095,0.443361118349846,0.657958000276561,5
"psi - theta",2.27798669492624,0.638588730712744,1.02637578179611,3.52959760805636,0.000360788127279566,5
"rho - (Intercept)",-0.957030646115066,0.121831426946556,-1.19581585511544,-0.718245437114693,3.9860129642466e-15,5
"rho - x",0.569060016744502,0.116999956505679,0.339744315800619,0.798375717688386,1.15175024627484e-06,5
"psi - (Intercept)",0.95341341929472,0.516123267057526,-0.0581695957211781,1.96499643431062,0.0647095926768266,6
"psi - x",-0.0917489014310906,0.378575841102088,-0.833743915408142,0.65024611254596,0.808506832399347,6
"psi - theta",0.555638486579688,0.717275775608974,-0.850196200596934,1.96147317375631,0.438545838589216,6
"rho - (Intercept)",-0.983907278764403,0.134190562380796,-1.24691594809594,-0.720898609432867,2.26464860154772e-13,6
"rho - x",0.585141569395341,0.128923855882263,0.332455455118073,0.837827683672609,5.6612786512041e-06,6
"psi - (Intercept)",0.384059560458086,0.343911308421808,-0.289994217924704,1.05811333884087,0.264105452616732,7
"psi - x",0.239393595003459,0.227372901895231,-0.206249103771552,0.68503629377847,0.292401609883833,7
"psi - theta",0.873255363402769,0.552175525081703,-0.208988778901862,1.9554995057074,0.113767991555295,7
"rho - (Intercept)",-0.932598559368047,0.135571346655127,-1.19831351614769,-0.666883602588402,6.02639706218091e-12,7
"rho - x",0.536885647636459,0.103234451328711,0.334549841068431,0.739221454204486,1.98598996280667e-07,7
"psi - (Intercept)",2.57301483042142,2.18797516817962,-1.71533769827861,6.86136735912144,0.239602906209551,8
"psi - x",-1.27269360275926,1.29214905659751,-3.80525921634778,1.25987201082926,0.324651904967621,8
"psi - theta",0.719284643391511,0.955209984143545,-1.15289252320291,2.59146180998593,0.451442663516124,8
"rho - (Intercept)",-1.03691523262865,0.118755840711879,-1.26967240337771,-0.804158061879596,2.51343050513681e-18,8
"rho - x",0.478344761665577,0.0956991842302595,0.290777807224405,0.665911716106749,5.78018365331261e-07,8
"psi - (Intercept)",0.0218362471153641,0.299751776181614,-0.56566643850251,0.609338932733238,0.941927260485687,9
"psi - x",0.0946941998514232,0.275332622003493,-0.444947823044402,0.634336222747249,0.730901521577346,9
"psi - theta",2.1114682586605,0.779931228282526,0.582831140808667,3.64010537651234,0.00678432932966514,9
"rho - (Intercept)",-0.850480370312858,0.140254822965271,-1.12537477198283,-0.575585968642886,1.32923736053606e-09,9
"rho - x",0.45500562861507,0.13773400662301,0.18505193618757,0.72495932104257,0.000954826618347442,9
"psi - (Intercept)",0.458330282147827,0.372090705058466,-0.270954098748882,1.18761466304454,0.218034897939715,10
"psi - x",0.471555034041527,0.304823963846284,-0.125888956721928,1.06899902480498,0.121869287942932,10
"psi - theta",1.29612984828013,0.655099825729303,0.0121577835722275,2.58010191298803,0.0478697751117349,10
"rho - (Intercept)",-1.02195827570481,0.145529235597351,-1.30719033617327,-0.736726215236361,2.18155926743654e-12,10
"rho - x",0.41142474703134,0.133642290133735,0.149490671557766,0.673358822504913,0.00208009185562171,10
"psi - (Intercept)",0.42179219185368,0.383377506138342,-0.329613912660255,1.17319829636761,0.27124469563946,11
"psi - x",-0.17971452568513,0.339134162551826,-0.844405270213862,0.484976218843601,0.596166273775166,11
"psi - theta",1.88256529886475,0.625974403723354,0.655678012323043,3.10945258540646,0.00263479122104809,11
"rho - (Intercept)",-1.0115816397536,0.11926086113183,-1.24532863233722,-0.777834647169978,2.21179868473776e-17,11
"rho - x",0.502341664561438,0.111267458581526,0.284261453090345,0.72042187603253,6.33998199158581e-06,11
"psi - (Intercept)",0.934742411760414,0.444097109178906,0.0643280721314062,1.80515675138942,0.0353073845704202,12
"psi - x",0.841543793099288,0.300074474247552,0.253408630894293,1.42967895530428,0.00504025389239862,12
"psi - theta",0.0734517419182898,0.566966973954774,-1.03778310745673,1.18468659129331,0.896920830589175,12
"rho - (Intercept)",-0.704815406857481,0.129496437137592,-0.958623759773417,-0.451007053941545,5.24672714603397e-08,12
"rho - x",0.493125076001958,0.133294331256335,0.23187298739619,0.754377164607726,0.000216007416359665,12
"psi - (Intercept)",0.527727183877633,0.421586341038352,-0.298566860931557,1.35402122868682,0.210655370782275,13
"psi - x",0.827629340631868,0.390846888366877,0.0615835159632423,1.59367516530049,0.0342150374934428,13
"psi - theta",1.89176246710755,1.08604351973412,-0.236843717214437,4.02036865142953,0.0815286415823632,13
"rho - (Intercept)",-1.1332730789364,0.143865272209628,-1.41524383109332,-0.851302326779477,3.34472072409612e-15,13
"rho - x",0.419746070822778,0.138958435156107,0.147392542568764,0.692099599076791,0.0025222510313427,13
"psi - (Intercept)",19.2173033922325,9.93882158719262,-0.2624289674343,38.6970357518992,0.0531673047298879,14
"psi - x",-9.70784837551408,5.31741542009661,-20.1297910897413,0.714094338713192,0.0678999119737348,14
